設定,休暇,新規,特殊休暇
設定,休暇,,種類,有給
設定,休暇,,範囲,終日休
設定,休暇,,日数管理,オン
設定,休暇,,管理名,特殊休暇
設定,休暇,,大分類に設定,オン
設定,休暇,,大分類名,特殊休暇
設定,休暇,終了
設定,休暇,新規,特殊休暇午前休
設定,休暇,,種類,有給
設定,休暇,,範囲,午前休
設定,休暇,,日数管理,オン
設定,休暇,,管理名,特殊休暇
設定,休暇,,大分類に設定,オフ
設定,休暇,,大分類名,特殊休暇
設定,休暇,終了
設定,休暇,新規,特殊休暇午後休
設定,休暇,,種類,有給
設定,休暇,,範囲,午後休
設定,休暇,,日数管理,オン
設定,休暇,,管理名,特殊休暇
設定,休暇,,大分類に設定,オフ
設定,休暇,,大分類名,特殊休暇
設定,休暇,終了
設定,休暇,新規,特殊休暇時間休
設定,休暇,,種類,有給
設定,休暇,,範囲,時間休
設定,休暇,,日数管理,オン
設定,休暇,,管理名,特殊休暇
設定,休暇,,大分類に設定,オフ
設定,休暇,,大分類名,特殊休暇
設定,休暇,終了
設定,勤務体系,新規,固定715
設定,勤務体系,,労働時間制,固定労働時間制
設定,勤務体系,,休日,日:所定休日|土:所定休日
設定,勤務体系,,始業終業,9:00-17:15
設定,勤務体系,,休憩時間,12:00-13:00
設定,勤務体系,,午前半休適用時間,9:00-13:00
設定,勤務体系,,午後半休適用時間,13:00-17:15
設定,勤務体系,,起算月,4
設定,勤務体系,,起算日,1
設定,勤務体系,,週の起算日,日
設定,勤務体系,,休暇,DEFAULT
設定,勤務体系,,休暇,特殊休暇
設定,勤務体系,,休暇,特殊休暇午前休
設定,勤務体系,,休暇,特殊休暇午後休
設定,勤務体系,,休暇,特殊休暇時間休
設定,勤務体系,終了
設定,社員,新規,京橋 一郎
設定,社員,,勤務体系名,固定715
設定,社員,,入社日,2017-04-05
設定,社員,,部署名,営業1課
設定,社員,終了
設定,休暇付与,,京橋 一郎,年次有給休暇,10,,2019-10-01,2021-10-01,有休付与
設定,休暇付与,,京橋 一郎,特殊休暇,3,,2019-11-01,2020-02-01,特殊休暇付与
読込,勤務表,,京橋 一郎,201912
検査,勤務表,,残日数,特殊休暇,2019/12/01,,,3 日
入力,勤務表,,打刻,,2019/12/01,2019/12/31,9:00-20:00
入力,勤務表,,打刻,,2019/12/05,,10:00-20:00
入力,勤務表,,休暇申請,年次有給休暇,2019/12/04
入力,勤務表,,休暇申請,時間単位有休,2019/12/05,,9:00-10:00
入力,勤務表,,休暇申請,時間単位有休,2019/12/09,,11:00-15:00
入力,勤務表,,休暇申請,特殊休暇時間休,2019/12/10,,11:30-12:00
入力,勤務表,,申請,承認,2019/12/01,2019/12/31
入力,勤務表,,月次確定,,201912
読込,勤務表,,京橋 一郎,202001
検査,勤務表,,残日数,特殊休暇,2020/01/01,,,2 日+7:00
入力,勤務表,,打刻,,2020/01/01,2020/01/10,9:00-19:30
入力,勤務表,,休暇申請,年次有給休暇,2020/01/07
入力,勤務表,,申請,承認,2020/01/01,2020/01/10
