type,no,id,ja,en,use,note,author
APP,,ac00000010,入退館管理機能設定,Entry and exit log check settings,J,,小島
APP,,ac00000020,入退館管理機能を使用する,Use the entry and exit log check function,J,,小島
APP,,ac00000030,乖離許容時間(分),Deviation allowed time (in minutes),J,,小島
APP,,ac00000040,入退館基準時間(平日),The entry and exit reference time (weekdays),J,,小島
APP,,ac00000050,入退館基準時間(休日),The entry and exit reference time (holiday),J,,小島
APP,,ac00000060,日次確定申請時の乖離判定,Daily Confirmation Request,J,,小島
APP,,ac00000070,乖離判定前の場合は申請を可能とする,It can be request before judgment of divergence.,J,,小島
APP,,ac00000080,月次確定申請時の乖離判定,Monthly Confirmation Request,J,,小島
APP,,ac00000090,乖離が発生している場合でも月次確定可能とする,It can be request even if there is divergence.,J,,小島
APP,,ac00000100,月次サマリーに入退館情報を表示する,Show entry and exit log to the monthly summary,J,,小島
APP,,ac00000110,乖離許容時間(分)は 0～60 の間で指定してください。,Deviation allowed time (minutes) specify between 0-60.,J,,小島
APP,,ac00000120,入退館基準時間(平日)は0:00～23:59の間で指定してください。,The entry and exit reference time (weekdays) specify between 0:00-23:59.,J,,小島
APP,,ac00000130,入退館基準時間(休日)は0:00～23:59の間で指定してください。,The entry and exit reference time (holiday) specify between 0:00-23:59.,J,,小島
APP,,ac00000140,入退館管理,Entry and exit log check,J,,小島
APP,,ac00000150,乖離理由候補,Divergence reason candidate,J,,小島
APP,,ac00000160,乖離理由候補を改行区切りで入力してください。,Enter the divergence reason candidates with a newline-separated.,J,,小島
APP,,ac00000170,入退館管理エラーメール送信先,Entry and exit log check error mail destination,J,,小島
APP,,ac00000180,複数メールアドレスを登録する場合はカンマ区切りで登録してください。,"You can enter multiple e-mail addresses, separated by commas.",J,,小島
APP,,ac00000190,勤怠,Attendance ,J,,小島
APP,,ac00000200,乖離理由,Divergence reason,J,,小島
APP,,ac00000210,入館乖離理由,Entry divergence reason,J,,小島
APP,,ac00000220,退館乖離理由,Exit divergence reason,J,,小島
APP,,ac00000230,入退館乖離理由,Entry and exit divergence reason,J,,小島
APP,,ac00000240,{0}分超乖離,More than {0} minutes difference,J,,小島
APP,,ac00000250,入館,Entry,J,,小島
APP,,ac00000260,退館,Exit,J,,小島
APP,,ac00000270,乖離状況,Divergence situation,J,,小島
APP,,ac00000280,乖離<br/>状況,Diverge,J,,小島
APP,,ac00000290,乖離理由入力,Divergence reason input,J,,小島
APP,,ac00000300,ログ明細,Log list,J,,小島
